          BJD  Differential_Magnitude  Differential_Magnitude_Uncertainty  Accepted 
  2454898.01091                  0.00065                              0.00186          1  
  2454898.01176                 -0.00394                              0.00187          1  
  2454898.01263                  0.00318                              0.00187          1  
  2454898.01347                  0.00131                              0.00189          1  
  2454898.01432                 -0.00013                              0.00188          1  
  2454898.01519                 -0.00431                              0.00185          1  
  2454898.01605                 -0.00234                              0.00189          1  
  2454898.01700                 -0.00237                              0.00188          1  
  2454898.01786                 -0.00059                              0.00186          1  
  2454898.01870                 -0.00074                              0.00186          1  
  2454898.01956                 -0.00689                              0.00186          1  
  2454898.02041                 -0.00435                              0.00190          1  
  2454898.02127                  0.00128                              0.00189          1  
  2454898.02210                  0.00472                              0.00188          1  
  2454898.02297                  0.00156                              0.00190          1  
  2454898.02383                  0.00004                              0.00189          1  
  2454898.02470                 -0.00531                              0.00190          1  
  2454898.02553                  0.00023                              0.00188          1  
  2454898.02636                 -0.00290                              0.00187          1  
  2454898.02722                 -0.00057                              0.00188          1  
  2454898.02808                  0.00019                              0.00189          1  
  2454898.02892                 -0.00298                              0.00191          1  
  2454898.02979                 -0.00221                              0.00193          1  
  2454898.03062                 -0.00120                              0.00192          1  
  2454898.03150                  0.00560                              0.00194          1  
