           BJD  Differential_Magnitude  Differential_Magnitude_Uncertainty  Accepted 
  2454216.78299                  0.02490                              0.00158          1  
  2454216.78349                  0.02428                              0.00160          1  
  2454216.78401                  0.02212                              0.00158          1  
  2454216.78451                  0.02494                              0.00159          1  
  2454216.78504                  0.02472                              0.00160          1  
  2454216.78555                  0.02427                              0.00159          1  
  2454216.78605                  0.02067                              0.00160          1  
  2454216.78657                  0.02484                              0.00159          1  
  2454216.78708                  0.02333                              0.00158          1  
  2454216.78759                  0.02174                              0.00158          1  
  2454216.78809                  0.02390                              0.00159          1  
  2454216.78861                  0.02327                              0.00159          1  
  2454216.78912                  0.02464                              0.00159          1  
  2454216.78959                  0.02776                              0.00158          1  
  2454216.79010                  0.02399                              0.00161          1  
  2454216.79062                  0.02433                              0.00159          1  
  2454216.79113                  0.02817                              0.00159          1  
  2454216.79163                  0.02203                              0.00158          1  
  2454216.79212                  0.02450                              0.00159          1  
  2454216.79263                  0.02039                              0.00156          1  
  2454216.79313                  0.02083                              0.00158          1  
  2454216.79364                  0.01711                              0.00158          1  
  2454216.79414                  0.02199                              0.00159          1  
  2454216.79465                  0.02972                              0.00161          1  
  2454216.79513                  0.02554                              0.00158          1  
  2454216.79564                  0.02117                              0.00159          1  
  2454216.79616                  0.02490                              0.00159          1  
  2454216.79667                  0.02799                              0.00159          1  
  2454216.79719                  0.02600                              0.00158          1  
  2454216.79773                  0.02305                              0.00159          1  
  2454216.79825                  0.02375                              0.00160          1  
  2454216.79875                  0.02491                              0.00159          1  
  2454216.79927                  0.02234                              0.00159          1  
  2454216.79978                  0.02470                              0.00158          1  
  2454216.80027                  0.02417                              0.00158          1  
  2454216.80077                  0.02526                              0.00159          1  
  2454216.80128                  0.02080                              0.00158          1  
  2454216.80178                  0.01853                              0.00159          1  
  2454216.80231                  0.02254                              0.00158          1  
  2454216.80284                  0.01907                              0.00158          1  
  2454216.80336                  0.02478                              0.00158          1  
  2454216.80388                  0.02606                              0.00158          1  
  2454216.80440                  0.02265                              0.00158          1  
  2454216.80493                  0.02438                              0.00158          1  
  2454216.80542                  0.02501                              0.00158          1  
  2454216.80593                  0.01940                              0.00157          1  
  2454216.80643                  0.02402                              0.00158          1  
  2454216.80694                  0.01983                              0.00158          1  
  2454216.80745                  0.02479                              0.00158          1  
  2454216.80796                  0.01779                              0.00158          1  
  2454216.80846                  0.01591                              0.00158          1  
  2454216.80895                  0.01830                              0.00159          1  
  2454216.80945                  0.01758                              0.00158          1  
  2454216.80997                  0.02024                              0.00159          1  
  2454216.81049                  0.01960                              0.00158          1  
  2454216.81100                  0.01432                              0.00158          1  
  2454216.81152                  0.01585                              0.00158          1  
  2454216.81203                  0.01823                              0.00159          1  
  2454216.81254                  0.01111                              0.00157          1  
  2454216.81305                  0.01448                              0.00158          1  
  2454216.81356                  0.00870                              0.00158          1  
  2454216.81407                  0.01505                              0.00159          1  
  2454216.81458                  0.00812                              0.00159          1  
  2454216.81508                  0.00466                              0.00158          1  
  2454216.81561                  0.00607                              0.00156          1  
  2454216.81612                  0.00313                              0.00157          1  
  2454216.81663                  0.00184                              0.00158          1  
  2454216.81715                  0.00731                              0.00157          1  
  2454216.81765                  0.00845                              0.00157          1  
  2454216.81813                  0.00348                              0.00157          1  
  2454216.81864                  0.00169                              0.00157          1  
  2454216.81913                  0.00206                              0.00157          1  
  2454216.81962                 -0.00086                              0.00158          1  
  2454216.82012                  0.00258                              0.00156          1  
  2454216.82062                 -0.00119                              0.00158          1  
  2454216.82115                  0.00093                              0.00156          1  
  2454216.82167                 -0.00027                              0.00155          1  
  2454216.82217                  0.00005                              0.00156          1  
  2454216.82267                 -0.00122                              0.00155          1  
  2454216.82320                 -0.00463                              0.00156          1  
  2454216.82370                 -0.00041                              0.00157          1  
  2454216.82418                  0.00584                              0.00158          1  
  2454216.82468                  0.00189                              0.00156          1  
  2454216.82518                 -0.00587                              0.00155          1  
  2454216.82569                  0.00177                              0.00155          1  
  2454216.82617                  0.00149                              0.00155          1  
  2454216.82668                 -0.00076                              0.00155          1  
  2454216.82717                 -0.00242                              0.00156          1  
  2454216.82769                 -0.00073                              0.00155          1  
  2454216.82820                  0.00081                              0.00155          1  
  2454216.82870                  0.00243                              0.00156          1  
  2454216.82922                  0.00057                              0.00156          1  
  2454216.82972                 -0.00017                              0.00156          1  
  2454216.83023                 -0.00021                              0.00156          1  
  2454216.83073                  0.00648                              0.00156          1  
  2454216.83124                 -0.00148                              0.00156          1  
  2454216.83175                  0.00082                              0.00155          1  
  2454216.83227                 -0.00101                              0.00156          1  
  2454216.83281                 -0.00037                              0.00157          1  
  2454216.83333                 -0.00164                              0.00157          1  
  2454216.83385                 -0.00243                              0.00156          1  
  2454216.83435                  0.00116                              0.00157          1  
  2454216.83484                  0.00034                              0.00157          1  
  2454216.83533                  0.00168                              0.00156          1  
  2454216.83584                  0.00045                              0.00157          1  
  2454216.83634                  0.00519                              0.00156          1  
  2454216.83683                 -0.00180                              0.00156          1  
  2454216.83731                 -0.00242                              0.00156          1  
  2454216.83783                  0.00000                              0.00157          1  
  2454216.83833                  0.00500                              0.00157          1  
  2454216.83883                  0.00178                              0.00157          1  
  2454216.83933                  0.00466                              0.00156          1  
  2454216.83984                 -0.00010                              0.00158          1  
  2454216.84034                  0.00071                              0.00156          1  
  2454216.84085                 -0.00013                              0.00156          1  
  2454216.84134                  0.00461                              0.00158          1  
  2454216.84182                  0.00433                              0.00156          1  
  2454216.84234                 -0.00237                              0.00156          1  
  2454216.84285                 -0.00082                              0.00156          1  
  2454216.84336                  0.00084                              0.00156          1  
  2454216.84388                 -0.00062                              0.00156          1  
  2454216.84438                 -0.00041                              0.00157          1  
  2454216.84490                 -0.00118                              0.00156          1  
  2454216.84541                  0.00370                              0.00158          1  
  2454216.84592                  0.00083                              0.00155          1  
  2454216.84642                 -0.00256                              0.00155          1  
  2454216.84695                 -0.00277                              0.00155          1  
  2454216.84747                  0.00473                              0.00157          1  
  2454216.84798                  0.00238                              0.00156          1  
  2454216.84850                 -0.00171                              0.00156          1  
  2454216.84902                 -0.00081                              0.00156          1  
  2454216.84953                 -0.00275                              0.00157          1  
  2454216.85003                  0.00452                              0.00157          1  
  2454216.85055                 -0.00288                              0.00157          1  
  2454216.85106                 -0.00243                              0.00157          1  
  2454216.85156                  0.00057                              0.00158          1  
  2454216.85209                 -0.00310                              0.00156          1  
  2454216.85260                 -0.00016                              0.00157          1  
  2454216.85311                 -0.00104                              0.00156          1  
  2454216.85360                 -0.00143                              0.00155          1  
  2454216.85410                  0.00279                              0.00155          1  
  2454216.85461                 -0.00060                              0.00157          1  
  2454216.85511                 -0.00158                              0.00156          1  
  2454216.85562                 -0.00269                              0.00156          1  
  2454216.85612                 -0.00019                              0.00157          1  
  2454216.85664                 -0.00049                              0.00156          1  
  2454216.85716                 -0.00122                              0.00157          1  
  2454216.85764                 -0.00003                              0.00158          1  
  2454216.85814                 -0.00351                              0.00157          1  
  2454216.85866                  0.00091                              0.00158          1  
  2454216.85917                 -0.00096                              0.00157          1  
  2454216.85968                 -0.00108                              0.00157          1  
  2454216.86019                 -0.00090                              0.00157          1  
  2454216.86069                  0.00131                              0.00156          1  
  2454868.87938                  0.00699                              0.00137          1  
  2454868.88023                 -0.00181                              0.00130          1  
  2454868.88108                  0.00153                              0.00137          1  
  2454868.88277                 -0.00277                              0.00139          1  
  2454868.88361                 -0.00539                              0.00134          1  
  2454868.88447                 -0.00074                              0.00139          1  
  2454868.88615                  0.00350                              0.00136          1  
  2454868.88700                 -0.00489                              0.00132          1  
  2454868.88872                 -0.00141                              0.00136          1  
  2454868.88957                 -0.00096                              0.00139          1  
  2454868.89042                  0.00124                              0.00135          1  
  2454868.89128                 -0.00188                              0.00134          1  
  2454868.89213                  0.00434                              0.00131          1  
  2454868.89299                  0.00277                              0.00134          1  
  2454868.89383                 -0.00062                              0.00140          1  
  2454868.89466                 -0.00513                              0.00138          1  
  2454868.89637                 -0.00574                              0.00127          1  
  2454868.89723                 -0.00094                              0.00132          1  
  2454868.89808                  0.00043                              0.00140          1  
  2454868.89895                  0.00276                              0.00131          1  
  2454868.89992                 -0.00014                              0.00131          1  
  2454868.90077                 -0.00249                              0.00131          1  
  2454868.90162                  0.00101                              0.00139          1  
  2454868.90248                  0.00123                              0.00134          1  
  2454868.90332                 -0.00066                              0.00131          1  
  2454868.90419                  0.00121                              0.00131          1  
  2454868.90504                  0.00052                              0.00137          1  
  2454868.90589                 -0.00169                              0.00130          1  
  2454868.90673                  0.00318                              0.00136          1  
  2454868.90761                  0.00189                              0.00130          1  
  2454868.90844                  0.00206                              0.00131          1  
  2454868.90929                 -0.00043                              0.00128          1  
  2454868.91015                 -0.00196                              0.00137          1  
  2454868.91187                 -0.00089                              0.00127          1  
  2454868.91271                  0.00050                              0.00133          1  
  2454868.91357                  0.00400                              0.00136          1  
  2454868.91441                  0.00689                              0.00132          1  
  2454868.91526                 -0.00235                              0.00134          1  
  2454868.91612                  0.00588                              0.00134          1  
  2454868.91696                 -0.00099                              0.00129          1  
  2454868.91784                  0.00670                              0.00134          1  
  2454868.91867                  0.00251                              0.00130          1  
  2454868.91954                  0.00382                              0.00125          1  
  2454868.92040                 -0.00309                              0.00130          1  
  2454868.92130                  0.00161                              0.00130          1  
  2454868.92215                 -0.00173                              0.00132          1  
  2454868.92301                 -0.00011                              0.00129          1  
  2454868.92387                 -0.00193                              0.00133          1  
  2454868.92473                  0.00432                              0.00129          1  
  2454868.92556                  0.00221                              0.00129          1  
  2454868.92643                 -0.00424                              0.00130          1  
  2454868.92728                  0.00161                              0.00130          1  
  2454868.92814                 -0.00037                              0.00130          1  
  2454868.92899                  0.00343                              0.00131          1  
  2454868.92985                 -0.00139                              0.00127          1  
  2454868.93071                  0.00066                              0.00126          1  
  2454868.93153                 -0.00226                              0.00129          1  
  2454868.93239                  0.00051                              0.00129          1  
  2454868.93326                 -0.00202                              0.00128          1  
  2454868.93409                 -0.00662                              0.00128          1  
  2454868.93495                 -0.00025                              0.00128          1  
  2454868.93579                 -0.00063                              0.00131          1  
  2454868.93664                 -0.00189                              0.00133          1  
  2454868.93748                 -0.00072                              0.00130          1  
  2454868.93833                 -0.00001                              0.00129          1  
  2454868.93919                 -0.00082                              0.00130          1  
  2454868.94002                 -0.00198                              0.00128          1  
  2454868.94087                 -0.00097                              0.00128          1  
  2454868.94174                  0.00229                              0.00128          1  
  2454868.94264                 -0.00589                              0.00129          1  
  2454868.94350                  0.00103                              0.00128          1  
  2454868.94436                 -0.00384                              0.00128          1  
  2454868.94521                  0.00046                              0.00129          1  
  2454868.94606                 -0.00219                              0.00129          1  
  2454868.94690                  0.00473                              0.00129          1  
  2454868.94778                 -0.00021                              0.00125          1  
  2454868.94863                  0.00021                              0.00132          1  
  2454868.94947                 -0.00488                              0.00127          1  
  2454868.95032                  0.00200                              0.00132          1  
  2454868.95116                 -0.00164                              0.00131          1  
  2454868.95201                  0.00112                              0.00129          1  
  2454868.95288                 -0.00064                              0.00130          1  
  2454868.95372                 -0.00506                              0.00127          1  
  2454868.95458                  0.00093                              0.00128          1  
  2454868.95543                  0.00136                              0.00129          1  
  2454868.95628                  0.00215                              0.00126          1  
  2454868.95715                 -0.00521                              0.00128          1  
  2454868.95800                 -0.00022                              0.00125          1  
  2454868.95885                  0.00041                              0.00128          1  
  2454868.95969                  0.00185                              0.00129          1  
  2454868.96056                  0.00142                              0.00128          1  
  2454868.96142                 -0.00066                              0.00127          1  
  2454868.96226                 -0.00237                              0.00127          1  
  2454868.96310                  0.00050                              0.00127          1  
  2454868.96402                 -0.00094                              0.00127          1  
  2454868.96489                 -0.00096                              0.00126          1  
  2454868.96574                 -0.00061                              0.00126          1  
  2454868.96659                 -0.00016                              0.00125          1  
  2454868.96745                 -0.00073                              0.00128          1  
  2454868.96829                 -0.00102                              0.00129          1  
  2454868.96915                  0.00116                              0.00125          1  
  2454868.96999                 -0.00226                              0.00126          1  
  2454868.97083                 -0.00260                              0.00128          1  
  2454868.97171                  0.00019                              0.00125          1  
  2454868.97256                  0.00058                              0.00126          1  
  2454868.97341                 -0.00053                              0.00128          1  
  2454868.97427                  0.00243                              0.00126          1  
  2454868.97512                  0.00286                              0.00129          1  
  2454868.97599                 -0.00047                              0.00127          1  
  2454868.97682                  0.00001                              0.00128          1  
  2454868.97769                  0.00296                              0.00125          1  
  2454868.97855                  0.00366                              0.00129          1  
  2454868.97936                  0.00910                              0.00124          1  
  2454868.98023                  0.00679                              0.00132          1  
  2454868.98109                  0.01024                              0.00126          1  
  2454868.98193                  0.00803                              0.00128          1  
  2454868.98278                  0.00812                              0.00128          1  
  2454868.98363                  0.01475                              0.00127          1  
  2454868.98450                  0.01203                              0.00129          1  
  2454868.98541                  0.01663                              0.00127          1  
  2454868.98626                  0.02172                              0.00127          1  
  2454868.98713                  0.01773                              0.00126          1  
  2454868.98797                  0.01962                              0.00125          1  
  2454868.98883                  0.01782                              0.00126          1  
  2454868.98969                  0.01707                              0.00126          1  
  2454868.99055                  0.02255                              0.00127          1  
  2454868.99141                  0.02182                              0.00126          1  
  2454868.99228                  0.02240                              0.00129          1  
  2454868.99312                  0.02392                              0.00124          1  
  2454868.99399                  0.02548                              0.00125          1  
  2454868.99483                  0.02290                              0.00127          1  
  2454868.99573                  0.02464                              0.00127          1  
  2454868.99657                  0.02092                              0.00126          1  
  2454868.99743                  0.02026                              0.00125          1  
  2454868.99828                  0.02241                              0.00124          1  
  2454868.99914                  0.02207                              0.00128          1  
  2454869.00000                  0.02333                              0.00125          1  
